Timestamp,DB_Before,Filename,DB_After,value type,note
2025-08-22 21:14:18,18M,res-10000_val-0.xml,3.6G,,
2025-08-22 21:28:31,18M,res-10000_val-10_int_values.xml,18G,int,value in range 0-n
2025-08-22 21:54:35,19M,res-10000_val-10_text-len-1.xml,6.2G,simpletext,
2025-08-22 22:12:17,18M,res-10000_val-10_text-len-20000.xml,6.2G,simpletext,
2025-08-22 22:30:57,18M,res-10000_val-20_int_values.xml,30G,int,value in range 0-n
2025-08-22 23:05:18,18M,res-10000_val-20_text-len-1.xml,6.2G,simpletext,
2025-08-22 23:22:58,18M,res-10000_val-20_text-len-20000.xml,6.2G,simpletext,
2025-08-22 23:41:20,18M,res-10000_val-30_int_values.xml,42G,int,value in range 0-n
2025-08-23 00:24:30,18M,res-10000_val-30_text-len-1.xml,6.2G,simpletext,
2025-08-23 00:42:10,18M,res-10000_val-30_text-len-20000.xml,6.2G,simpletext,
2025-08-23 01:01:14,19M,res-10000_val-40_int_values.xml,54G,int,value in range 0-n
2025-08-23 01:53:16,19M,res-10000_val-40_text-len-1.xml,6.2G,simpletext,
2025-08-23 02:10:36,18M,res-10000_val-40_text-len-20000.xml,6.2G,simpletext,
2025-08-23 02:29:24,19M,res-10000_val-50_int_values.xml,66G,int,value in range 0-n
2025-08-23 03:32:16,19M,res-10000_val-50_text-len-1.xml,6.2G,simpletext,
2025-08-23 03:49:54,18M,res-10000_val-50_text-len-20000.xml,6.2G,simpletext,
2025-08-23 04:08:36,18M,res-20000_val-0.xml,8.2G,,
2025-08-23 04:35:28,19M,res-20000_val-10_int_values.xml,41G,int,value in range 0-n
2025-08-23 05:27:18,18M,res-20000_val-10_text-len-1.xml,15G,simpletext,
2025-08-23 06:01:41,18M,res-20000_val-10_text-len-20000.xml,15G,simpletext,
2025-08-23 06:40:01,19M,res-30000_val-0.xml,14G,,
2025-08-23 07:19:59,18M,res-30000_val-10_int_values.xml,65G,int,value in range 0-n
2025-08-23 08:38:36,18M,res-30000_val-10_text-len-1.xml,24G,simpletext,
2025-08-23 09:31:08,19M,res-30000_val-10_text-len-20000.xml,23G,simpletext,
2025-08-23 10:28:03,18M,res-40000_val-0.xml,19G,,
2025-08-23 11:23:12,18M,res-40000_val-10_int_values.xml,91G,int,value in range 0-n
2025-08-23 13:08:13,18M,res-40000_val-10_text-len-1.xml,32G,simpletext,
2025-08-23 14:19:58,19M,res-40000_val-10_text-len-20000.xml,32G,simpletext,
2025-08-23 15:33:26,18M,res-50000_val-0.xml,24G,,
2025-08-23 16:41:16,18M,res-50000_val-10_int_values.xml,116G,int,value in range 0-n
2025-08-23 18:52:28,19M,res-50000_val-10_text-len-1.xml,41G,simpletext,
2025-08-23 20:18:46,18M,res-50000_val-10_text-len-20000.xml,41G,simpletext,
